machine_hours,labor_hours,downtime_hours,machine_type,operator_skill,material_quality,shift_type,maintenance_status,production_line,ambient_temp_c,humidity_percent,output_units
,127.57365636859572,18.35776060451157,Injection,,Grade C,Night,Preventive,Line 1,22.27468527341,46.733037797965856,2981.0
145.19012221467173,63.27483866375708,56.80105388389784,Injection,Senior,Grade B,Day,Reactive,Line 1,,68.83558889454564,14227.0
516.9043410723204,159.2018558790076,35.49097084022091,CNC,Trainee,Grade B,Night,Reactive,Line 4,25.809196581699023,33.533237702510164,12875.0
277.97609590237016,85.4066254798698,17.103906501152064,Packaging,Junior,Grade B,Day,Preventive,Line 4,18.4193295030913,58.183130510310626,
515.093544315589,370.45085641892786,31.717082981336866,CNC,Junior,Grade C,Rotating,None,,18.679353221104176,34.983486107328616,4829.0
112.59061458854154,377.81820785581107,32.369723338711005,CNC,Senior,Grade A,Day,Reactive,Line 2,25.981666014675174,38.8425401024683,1108.0
480.073104331202,257.2443233336302,43.60569622112321,CNC,Expert,Grade C,Night,Reactive,Line 2,29.847968703272244,33.122272714475166,1029.0
123.55885786715156,329.9755908251508,54.13213939000896,Assembly,Trainee,Grade C,Rotating,Reactive,Line 3,18.61568935692539,75.08415143914002,7778.0
323.529854255548,283.79606309026616,57.75561729310783,Packaging,Expert,Grade A,Rotating,Preventive,Line 3,25.10089707754159,32.410222938391826,12484.0
567.5382937065972,331.9992003030544,43.07344621533821,,Trainee,Grade B,Day,Preventive,Line 3,29.915895257079832,55.82082239700935,
120.39259613355294,270.3305930401822,32.75479445373289,,Expert,Grade A,Day,Reactive,Line 2,18.06227169338361,41.24887009920494,2158.0
262.3443073640547,194.8697218367123,13.495925188373292,,Senior,Grade A,Day,None,Line 3,21.861114706425287,49.179431684861385,13025.0
349.5412712967071,354.5516046142307,24.181764999503883,Assembly,Junior,Grade A,Rotating,None,Line 1,30.878883056844572,54.68280923399153,908.0
547.7178011705347,197.70390025171417,29.32733945339253,CNC,Expert,Grade B,,Preventive,Line 2,19.140574727481997,52.503007064188765,10002.0
252.95574087641097,182.63649616744033,7.702269185829671,CNC,Expert,Grade A,Night,None,Line 2,26.49795068499281,67.4043594935886,13790.0
,264.77793117908163,,,Trainee,Grade C,Rotating,Preventive,Line 3,25.103343332390576,75.5941663128063,14791.0
453.4499770560609,377.6554483156943,59.06715637690127,CNC,Expert,Grade A,Day,Reactive,Line 1,20.123511084084296,45.01361070423494,717.0
239.6750330388401,199.19302286164893,45.40140311587544,Packaging,Expert,Grade A,Rotating,Reactive,Line 1,18.59481813980603,31.227024857802945,11142.0
257.22288652127844,246.98011754234875,28.92040217809396,,Senior,Grade C,Night,Reactive,,25.036219424423006,74.69727178699162,3031.0
179.32633618952076,217.2397791666236,13.56195388461492,,Expert,Grade B,Night,Preventive,,28.291822645846832,78.93920328496971,4708.0
440.3404314359754,367.5038468542716,34.406859844948464,Injection,Senior,Grade C,Night,None,Line 3,20.481398882544084,51.66755871864322,13829.0
372.81324246957365,283.62820083117185,,Injection,Senior,Grade B,Day,Reactive,Line 1,27.678477603485454,52.789443867461394,8119.0
160.5750955989293,191.05217620143097,11.586525949327713,CNC,Senior,Grade B,Day,None,Line 2,25.649366364529364,37.20780552431375,4756.0
402.4365437534733,258.48495269597174,5.625382911929304,Injection,Trainee,Grade B,Rotating,None,Line 4,23.009849958270266,53.77617250479925,5689.0
339.2978154046016,96.18131100422332,20.751182258283457,,Senior,Grade B,Day,Preventive,Line 1,27.302026947152136,45.167461799048695,9722.0
128.14677540761193,163.09979926529596,32.50339128880931,Packaging,Trainee,,Rotating,Preventive,Line 4,20.687674886173536,79.71900337680681,9716.0
575.9257853479368,305.02523797303473,9.559657076371593,CNC,Junior,Grade B,Day,None,Line 2,24.39703849332046,39.24239821033219,8537.0
514.073002279265,242.46188833250142,12.02612870359054,CNC,Senior,Grade C,,None,Line 3,25.6902697419086,48.9293366006229,6742.0
116.9325465163275,153.13821228899747,23.4683536997593,CNC,Expert,Grade A,Day,Reactive,Line 2,,60.825099099930185,11338.0
564.259327698087,170.42724598045538,29.371898338261836,Assembly,Senior,Grade C,Day,Reactive,Line 2,23.56501927600036,47.25617759111992,14403.0
556.6724703747734,331.5217900263798,45.73699074991157,Assembly,Junior,Grade A,Day,Reactive,Line 4,28.372790953955313,53.72117695260137,814.0
101.93516870119495,234.71788106203658,33.99768990267879,Assembly,Senior,Grade C,Night,None,Line 2,27.185413531312896,78.67418166204382,5653.0
184.769051820912,125.95217453856623,37.06206421104777,Packaging,Trainee,Grade A,Rotating,Preventive,Line 3,26.952469195059837,55.40356880253991,725.0
,146.8526507183834,41.772627139743136,Injection,Junior,Grade C,Day,None,Line 4,30.485209028789868,75.51602192369089,9170.0
565.978259011913,208.43806403296452,27.058976067696918,CNC,Junior,Grade C,Night,Reactive,Line 4,31.90900920296717,,8914.0
508.0196553133976,314.62152440179375,20.588000078608452,CNC,Trainee,Grade C,Day,Reactive,Line 3,25.940863465082906,35.99091719509179,10407.0
226.58688405101188,399.0785543522863,48.02524445264666,Injection,Trainee,Grade C,Day,Preventive,Line 4,22.87575028772594,77.22557973765586,6526.0
97.3880493913206,106.87376899444645,49.699225022971724,Assembly,Expert,Grade A,Night,None,Line 3,,36.43655558440474,5115.0
325.90145553119316,311.77444808134356,9.238925512837717,Packaging,Junior,Grade B,Day,Reactive,Line 4,19.98938687895966,66.8275597695519,6886.0
127.82010719714398,262.19902572902356,,CNC,Senior,Grade C,Day,Preventive,Line 2,25.18072839461851,52.30018020760747,8779.0
207.5540406952208,231.22948602994114,55.79536415087477,Injection,Trainee,,Day,Reactive,Line 2,25.343118747364954,50.33741645999777,5578.0
412.8504691575363,387.92453895952224,52.25266876564278,Assembly,Expert,Grade C,Day,Preventive,Line 1,31.768550145415134,62.96101321380394,979.0
337.4098534378412,156.19127790997055,25.359505121336777,Packaging,Trainee,Grade B,,None,Line 4,,66.38004126294139,808.0
275.89401369275043,103.71216754610376,50.530704633042355,Injection,Trainee,Grade A,Night,Preventive,Line 3,29.188997935932413,76.5984640142853,7298.0
563.5804097016548,355.9349768289268,37.683513541716394,Injection,Expert,Grade A,Night,None,Line 3,24.622219628998117,42.84427444375972,1039.0
,64.72801252774845,12.323684359004435,CNC,Junior,Grade A,Day,None,,25.66116105964697,64.90401888307082,14279.0
333.4886864391748,334.1630828518617,46.492981173175444,Packaging,Senior,Grade C,Day,Reactive,Line 2,22.47638284125794,47.11429088363289,7809.0
378.21749352373655,252.12495751836082,24.36569970618458,Packaging,Trainee,Grade C,Rotating,None,Line 3,29.617839851489396,65.88048724414887,589.0
247.40985911429414,,17.529874243932536,Assembly,Junior,Grade B,Night,Reactive,Line 1,28.451646713699883,37.105806296018855,13797.0
446.7546683647933,121.85037698562549,52.6975329773632,,Expert,Grade B,Day,Reactive,,28.799954029537723,52.877127486526476,2860.0
530.9849114286907,96.10261336017652,51.73663642285595,CNC,Expert,Grade C,Rotating,None,Line 3,,39.18148638381617,8871.0
361.56904284235475,298.60187506745154,51.86239465343965,Packaging,Expert,Grade C,Night,Preventive,Line 3,23.580875598344775,46.82231148863386,1048.0
486.2952104195082,,51.571413623833905,Assembly,Junior,Grade A,Rotating,None,Line 1,25.52292366590722,65.7814703731236,501.0
111.70005525734055,,33.25374566426153,Packaging,Senior,Grade C,Rotating,None,Line 1,19.745211561195045,41.667492473798276,12693.0
159.96693274842693,,37.01521969665007,,Junior,Grade A,Day,Preventive,Line 3,23.1607223693703,64.24419519084938,1557.0
320.2532750006105,328.815972353918,56.93193371953292,Injection,Junior,Grade B,Day,Reactive,Line 1,19.224055313798946,54.797009702374346,14125.0
558.9303250297467,371.016680491504,7.760467970823504,Injection,Expert,Grade C,Night,Reactive,Line 2,31.42377718184903,34.60182785283065,10965.0
356.42755750210137,241.35233016978063,48.375683201415846,Packaging,Trainee,Grade B,Rotating,None,Line 3,28.51768661406434,49.3347342608067,8252.0
304.7971011645034,387.8262533981661,31.5760643164648,CNC,Trainee,Grade C,Rotating,Preventive,Line 1,26.690473693786664,73.46031014801258,13151.0
392.0559364829001,180.53690905307286,58.70445167760343,Assembly,Expert,Grade C,Day,Preventive,Line 1,20.867990069377264,79.46454489781736,11624.0
,128.05688399147465,38.35342475200513,CNC,Trainee,Grade A,,,Line 1,22.67778412048464,48.446054865887916,6126.0
419.91392910007545,103.82683220004962,9.752651379752141,CNC,Expert,Grade C,Day,Preventive,Line 2,20.022788626787037,32.74373656093489,5545.0
128.89099519410848,212.42680509298052,48.929458708749664,CNC,Junior,Grade B,Night,None,Line 1,25.50567477745406,36.5093887153054,4711.0
379.9325245122682,87.06888459101484,40.360293856549326,CNC,Expert,Grade C,Rotating,None,Line 4,29.487223857033882,69.40742069722197,
451.48282139202144,355.2846262509397,8.935667355288013,,Senior,Grade B,,Reactive,Line 4,18.266511303657364,62.78935365948392,8630.0
,322.51558626905614,0.5395296845291186,Injection,Senior,Grade C,Rotating,Preventive,Line 2,19.446321375762828,44.250599961092064,10257.0
553.6694179660236,242.3626255705652,32.618837841941705,Injection,Senior,Grade B,Night,None,Line 2,21.21089683517559,49.564928135370685,1094.0
159.05666320256827,299.72666920688977,14.489346650938664,Injection,Junior,Grade B,Day,None,Line 1,27.99693440422723,70.55751156227859,7122.0
168.89840512907148,57.99650907751001,52.03448934119505,Packaging,Trainee,Grade B,Day,Preventive,Line 2,30.51571774277086,50.65549734789341,11459.0
348.79549291455766,113.26640385778079,15.055796494671146,Packaging,Junior,Grade C,Day,Preventive,Line 1,28.542172714842884,67.7886605918047,10846.0
564.4607944104475,263.63628141875233,39.771369293997225,Assembly,Trainee,Grade A,Night,Reactive,Line 1,25.349265702392525,44.760285069178295,12461.0
283.1632735413714,211.88902421661462,20.707806435541734,Assembly,Junior,Grade B,Rotating,Preventive,Line 1,19.471573097599787,66.24058992974885,6507.0
561.7279364359473,257.66427278575964,21.019082995924876,Assembly,Junior,Grade B,Day,Reactive,Line 4,28.56880124099082,53.31987215527171,
440.60694379296285,72.02885541896529,10.908890242169512,Injection,Senior,Grade A,Night,Reactive,Line 4,19.47895636523432,57.267714083020245,10626.0
486.9287181693311,274.8721209177062,30.16330344803137,Assembly,Junior,Grade B,Night,Preventive,Line 3,22.867657971251496,59.9366556175185,7827.0
567.6927662899434,329.3018525342817,34.75630187427426,Injection,Senior,Grade B,Day,,Line 2,22.311881160980967,52.528734724985284,14910.0
377.6107353508606,236.65906587915583,34.860820763747014,Injection,Junior,Grade C,Day,,Line 4,23.02912848748249,53.30678098485973,8016.0
,168.666526728785,51.39660930459561,CNC,Expert,Grade A,Day,Preventive,Line 2,22.61340660760971,43.2854310346312,7325.0
381.0750269003666,102.87322848905353,39.14083724719584,Packaging,Senior,Grade B,Day,Preventive,Line 1,28.768516034033944,79.28821890552835,4782.0
488.1264509111631,135.52781652082342,44.41426999273012,Packaging,Expert,Grade C,Night,Reactive,Line 2,20.40413227546406,75.29075280243944,12619.0
222.17127314204376,,19.406891771137794,Assembly,,Grade C,Rotating,Preventive,Line 1,29.84184470150302,56.36914138093927,6982.0
489.78487493090415,131.9864186135189,25.241137855665993,CNC,Junior,Grade C,Rotating,None,Line 2,30.015643464688324,31.73147062782448,10538.0
451.0437282600873,320.0603934564404,1.097556417042287,Assembly,Expert,Grade C,Night,None,Line 4,24.87296151951795,38.42139854274942,14200.0
393.074412110532,87.42676938552049,4.746560356214693,Assembly,Trainee,Grade A,Rotating,Preventive,Line 2,19.486082478849603,72.6967605718055,7836.0
100.17170702776862,225.91273579517627,23.10717809918946,Packaging,Trainee,Grade A,Night,Preventive,Line 1,26.055701346218992,76.54060365398819,5420.0
482.76286536208187,218.54782526860672,12.58402407404523,CNC,Trainee,Grade C,Night,Reactive,Line 4,29.493039205188445,38.064605228722165,552.0
148.86149555727332,90.00121479948066,48.77756375386533,Assembly,Junior,Grade A,Night,Preventive,Line 1,22.052629269140922,,756.0
580.225399985185,398.19552907537997,40.58918952765989,Assembly,Trainee,Grade C,Rotating,Reactive,Line 1,29.728463938750842,61.15116547880149,6191.0
122.37641263067081,336.32873948726825,58.21832878411298,Assembly,Trainee,Grade B,Night,Preventive,Line 4,27.476863938005494,45.169248497556126,8255.0
454.54330148708294,,53.22203776162724,Injection,Junior,Grade B,Night,Reactive,Line 2,31.821450170399697,51.80457018133631,2593.0
267.4213555082109,286.56635402592417,58.65966141200584,Packaging,Junior,Grade C,Day,None,Line 3,,63.863471368776146,12023.0
462.5590038997856,297.9692317977497,21.91650795524755,Injection,,Grade B,,Preventive,Line 3,20.821006497301788,35.06479569013956,8706.0
349.8554097023328,274.41348437755846,29.062578810811523,Assembly,Trainee,Grade C,Rotating,Preventive,Line 2,24.28605683450512,39.45213259629989,3396.0
407.34272005106124,195.69422062217345,22.357544720680366,CNC,Expert,Grade B,Day,Reactive,Line 2,19.449118507236516,31.66574861345459,3175.0
119.22710511702273,358.64007938546985,57.85834359586618,Injection,Junior,,Day,Reactive,Line 4,18.97538793538514,75.1100862706655,4607.0
582.5691280308415,317.7584974221063,24.16252164062101,Injection,Junior,Grade A,Day,Preventive,Line 1,27.884759372196406,58.69480947677107,2548.0
82.00016740585694,235.1271835191419,7.005713972973258,Assembly,Expert,Grade C,Night,Reactive,Line 4,30.781045266836145,56.17137179043615,2624.0
569.4029142439188,40.92260278116734,15.030593613330208,Injection,Senior,Grade A,Day,Preventive,Line 4,31.630057233453527,65.31203203082532,13329.0
375.49009978216117,,25.489209605887723,CNC,Senior,Grade C,Rotating,None,Line 1,21.78652895920413,79.41751118427337,4285.0
214.3004773026053,223.1772526622276,36.179639637244854,CNC,Junior,Grade B,Night,Reactive,Line 1,20.824798786030556,38.61186442185969,9687.0
411.6184402276708,363.6144604555607,37.08518863505865,Packaging,,Grade C,Rotating,Preventive,Line 2,25.84307841885722,36.65530087653373,3449.0
429.906510382248,266.30353988329114,45.52701705189934,Packaging,Trainee,Grade C,Rotating,None,Line 1,20.812041023122212,44.73954324549824,7484.0
459.7724553364394,190.43042722348935,,CNC,Senior,Grade C,Rotating,Preventive,Line 1,22.142699260955062,75.19720798850197,12837.0
88.54763228109718,57.248310838952946,29.492040357739466,CNC,Trainee,Grade C,Rotating,Preventive,Line 2,29.72116862109823,50.573030572043066,2165.0
591.0468499678485,255.02088181603165,1.8102930405265116,Injection,Senior,Grade B,Rotating,,Line 4,29.346479990673885,69.67483790686047,13817.0
401.31472603082835,166.2707875773548,41.70170300154338,Packaging,Expert,Grade B,Day,Reactive,Line 3,30.531025850049595,40.146407993376194,6718.0
276.31882290280714,233.45552104556722,5.127485560680172,Injection,Trainee,,Day,None,Line 1,24.751409208998496,54.680272118006144,13133.0
376.73819939025753,315.9190114296977,28.12868234404452,CNC,Expert,Grade C,Rotating,Preventive,,25.897200271708495,36.37352695732301,12623.0
172.77934777771125,329.34652781827486,53.783773146889395,Packaging,Expert,Grade A,Rotating,None,Line 4,28.7882531142778,50.644920001536455,11417.0
208.57860640054844,351.1401662015517,35.812733603577165,Injection,,Grade B,Day,Preventive,Line 3,21.349717463674384,43.11409834308721,3398.0
124.60534157924127,268.9767854453069,11.937885461076451,Packaging,Junior,Grade B,Rotating,None,Line 1,29.523310277956924,57.471579792310195,7941.0
537.2014965592624,366.0224421753219,48.47749250689025,Assembly,Junior,Grade C,Day,Reactive,Line 4,18.245804717605374,69.02031065375965,
210.8320598668805,288.62608352181763,18.02454740861418,Assembly,Expert,Grade C,Rotating,None,Line 4,29.167238443365584,76.9185185674014,14291.0
464.6494443725242,322.2090735040046,34.636250352678445,Assembly,Junior,Grade A,Rotating,None,Line 1,28.862711269935097,44.192139063244454,10023.0
222.58331506287186,286.77360006842696,38.15093278870238,Assembly,Trainee,Grade B,Night,Reactive,Line 1,22.224919297796305,67.15658478546705,6336.0
155.91409773533888,353.87097295466776,43.86728966353687,Assembly,Senior,Grade A,Rotating,,Line 4,28.19077301425537,74.27961686410163,3303.0
136.22992471960106,120.24035747858606,3.8989542125646537,,Trainee,Grade B,Night,None,Line 2,,36.2425938525165,13399.0
527.3270623764118,313.5593474903161,51.256027947459295,CNC,Junior,Grade B,Rotating,Preventive,Line 2,,59.29661140526078,1745.0
142.26312806970668,82.17635549419848,6.831019457783425,Injection,Expert,Grade A,Night,None,Line 4,27.808214848828648,60.5923154299235,
125.31757515694194,73.1178507574675,5.6720358072362975,CNC,Senior,Grade B,Day,Reactive,Line 1,28.005784353635907,43.61925511513191,8025.0
84.86448848875092,216.98415536355412,27.41307334335029,CNC,Expert,Grade B,,None,Line 1,,31.1257279804596,9376.0
270.54882566768663,148.08537611956672,22.330896072797756,CNC,Senior,Grade A,Day,Preventive,Line 2,,42.835147324185456,2865.0
570.1973390820303,242.8089546585394,3.276820429458003,Injection,Trainee,Grade B,Night,Preventive,Line 2,24.731180804467808,59.23673036206293,11805.0
552.4979267218528,283.9842103789998,9.96003123901174,Assembly,Junior,,Night,Reactive,Line 3,30.321463619348243,39.82213562067339,3638.0
139.8274069834806,121.56264422185745,,Packaging,Trainee,Grade C,Night,Preventive,Line 2,25.86117648498001,44.367258980406675,11644.0
86.49725726022086,291.9733808667223,49.74433071531216,Packaging,Expert,Grade B,Night,Reactive,Line 1,30.269446355937262,65.39612300456406,8834.0
470.5239116864219,398.36527298736286,7.278262762328533,CNC,Trainee,Grade A,,Reactive,Line 2,24.07682288349129,49.91577957853784,
239.36819112794117,313.5836633070677,6.271822450640414,Packaging,Junior,Grade B,Night,Preventive,Line 4,29.134919895780094,33.271269345863594,8845.0
514.0320294714456,102.56314067430867,48.289764116822475,Injection,Junior,Grade B,Rotating,Preventive,Line 3,30.180690186189445,49.95829421100858,7761.0
192.02330813670048,268.130352710302,29.538930970092522,CNC,Trainee,Grade A,Night,Reactive,Line 3,29.850151175948575,79.98844824361802,3768.0
335.94847233705156,43.41451723386636,21.61495480257365,Injection,Senior,Grade C,Day,Preventive,Line 1,30.199110623800543,43.05257694167042,4973.0
97.13194013053545,209.09853771920064,27.681218534013567,CNC,Junior,Grade A,Day,Reactive,Line 4,21.07376575250127,43.26282642250916,6226.0
545.2517104641137,231.99029163070276,24.650801347853665,Assembly,Junior,Grade B,Rotating,None,Line 2,24.145777828614285,38.49432073297011,
172.54751765016124,390.05591907677206,46.913650238253446,Packaging,,Grade C,Day,Preventive,Line 3,20.444006194818435,,
233.24557707246754,305.39393695506004,0.5596417442912927,Packaging,Junior,Grade C,Night,Preventive,Line 3,20.527576484196736,58.737665170725656,9225.0
329.4442062217338,294.14569070089317,25.98951471741164,Injection,Senior,Grade B,Rotating,Reactive,Line 4,24.82958230991699,78.23010660089629,12252.0
221.05979805664626,231.6656592487134,9.531280092490757,,,Grade A,Rotating,None,Line 3,31.441228565929563,60.384763613627406,7280.0
100.88499193087836,224.74336511517998,18.49715082477117,CNC,Expert,Grade A,Day,None,Line 4,26.286758288215587,50.492379613888424,7469.0
95.12478749040132,397.14980124778674,6.730271728844464,Assembly,Expert,Grade B,Rotating,Preventive,Line 1,29.95383135217561,49.481681453688864,12482.0
576.7108966634929,47.65647867170415,25.619286106100635,,Expert,Grade A,Night,Reactive,Line 3,31.120575923318274,31.211294230569383,14816.0
249.25808860946353,149.15412610975272,38.59770809109048,Assembly,Trainee,Grade A,Night,Reactive,Line 2,19.212055024096998,30.127115109995014,13480.0
253.88362891529206,88.16217640635777,,Injection,Trainee,Grade A,Day,Preventive,Line 4,20.268895862513673,69.85967734897653,14678.0
559.9079843970667,153.38989566665896,47.80462362663166,Assembly,Expert,Grade C,Night,None,Line 1,22.07178492249279,54.50803312573763,1286.0
514.7999135039336,206.90309836049008,48.900684076603646,Packaging,Junior,Grade C,Night,Reactive,Line 2,26.634878951901605,31.66047065165816,
437.2096347792591,163.0956517633977,35.8640072184705,Packaging,Expert,Grade A,Day,Reactive,Line 4,18.864209058945278,44.30135223951819,965.0
422.4229938159142,386.5738412592074,21.18899977531813,Injection,Trainee,Grade B,Night,Preventive,,29.013163138032553,47.834094193809925,8065.0
496.5645828342273,285.01167171558416,3.0789290916681478,Injection,Senior,Grade B,Day,Preventive,Line 3,18.893042036916945,,11211.0
167.8152339620072,302.09617473676633,2.152199251546665,Assembly,Junior,Grade B,Day,None,Line 1,20.218045305906983,51.71933515997003,640.0
425.42292586519767,307.2252004896872,6.795786277519584,Assembly,Junior,Grade B,Day,None,Line 4,23.34391009838263,69.46500874130975,8302.0
131.16726797758804,363.72171707315954,59.02988587085031,Injection,Junior,Grade A,Rotating,Reactive,Line 4,25.808077993072388,61.68670254343975,2227.0
145.78662107923031,316.48677065177793,47.15864597423627,Packaging,Trainee,Grade A,Night,Preventive,Line 1,30.341065435164676,31.65681032080498,12331.0
206.2331724022322,45.83373133637606,24.292335116997762,Assembly,Junior,Grade B,Night,Preventive,Line 2,31.492216900364465,78.43443520348256,2491.0
449.0979677038548,134.10246848171982,27.972070156581687,Injection,Junior,Grade A,Night,Preventive,Line 1,30.384989736627325,39.07165183376638,9501.0
544.1235008977966,396.0775788344915,44.24288063322405,Assembly,Senior,Grade B,Day,None,Line 1,19.498625207588876,43.780978085404584,9962.0
439.2088694397146,274.76481518322106,30.864038484992697,Injection,Junior,Grade B,Day,None,Line 1,26.83721279356496,70.46470142606626,3381.0
296.6439739985983,64.5223833670544,21.624974560649836,Packaging,Trainee,Grade C,Night,Reactive,Line 1,24.184004009681047,39.491993204372996,1202.0
347.1038337490059,207.98975302916816,20.97363956983162,Assembly,Junior,Grade B,Night,Preventive,Line 3,19.761091053557585,50.05438918536403,8861.0
450.40941550500463,393.10040566763087,12.578499831454792,Assembly,Trainee,Grade C,Night,None,Line 4,25.771573197535496,73.24956090766491,10958.0
398.90658329619345,397.42173105144775,53.13669588074012,CNC,Senior,Grade B,Night,Preventive,Line 2,22.99321627819599,61.86361381008368,2581.0
355.3231178540434,195.6808551203213,24.849229739668804,CNC,Senior,Grade A,Rotating,None,Line 2,22.841029750148913,45.10402997431723,11024.0
203.1320890691502,361.49908324459705,45.14177621101028,Packaging,Junior,Grade C,,Preventive,Line 1,19.322231661956877,62.20248607628891,10125.0
400.8196802654726,253.11723210270537,34.42572578713899,Injection,Expert,Grade A,Rotating,Reactive,Line 1,31.703941519390003,70.63122377687503,10122.0
89.7074512955178,223.3945655645368,45.24561912927435,CNC,Senior,Grade B,Night,None,Line 2,28.163438603133482,50.19446412989271,5655.0
371.2280696077872,188.29929588524737,19.25459675461382,CNC,Junior,Grade C,Day,None,Line 2,21.924678958765867,58.58373422380733,12137.0
506.787440764326,361.16681431101864,45.12052521181957,Packaging,Senior,Grade B,Rotating,Reactive,Line 3,30.844652201325026,,764.0
173.47028587206566,263.6056014986832,47.39809759334087,Injection,Senior,Grade B,Rotating,Reactive,Line 1,31.273220748622933,,9544.0
139.38941954094156,160.1671517304469,6.256804971541127,Packaging,Trainee,Grade A,Day,Preventive,Line 2,29.3452478064337,55.45186559686388,7965.0
584.5222807011475,217.09567739274033,5.48782680659717,Assembly,Expert,Grade C,Rotating,None,Line 4,27.230412297558004,34.80706282553999,2263.0
518.6009352791731,199.86854456655175,,Assembly,,Grade A,Night,Preventive,Line 3,23.269272676116238,65.03410444067518,8246.0
237.0406033976259,,7.077240194861694,Injection,Junior,Grade A,,Preventive,Line 3,24.08085110851082,43.431039354009926,8698.0
188.4578356490477,,41.090452222292654,CNC,Junior,Grade C,Rotating,Preventive,Line 1,24.370157548081174,63.47374640710964,12810.0
253.70046881283074,267.86462234996986,44.86879390492701,Packaging,Trainee,Grade A,Night,None,Line 3,31.28267717071447,47.58777991090983,10131.0
304.2369850713885,58.80546054562557,3.8106489652928643,Packaging,Expert,Grade B,Night,Reactive,Line 3,28.64188446574249,65.93792192409823,14904.0
506.96311231877496,359.0187889618109,44.79065597933909,Assembly,Expert,Grade C,Rotating,Preventive,,22.088200246717353,48.36612791419319,8704.0
204.3859402012996,189.54290833911014,25.1708967512937,Packaging,Expert,Grade C,Night,None,Line 3,26.744968217366782,77.05976386897765,6379.0
454.839432945607,328.31048868079057,16.48044020670178,CNC,Senior,Grade C,Day,Preventive,Line 4,26.3146075140143,36.83364362288907,3267.0
563.2313104387047,302.6170530875344,39.91983863187252,,,Grade C,Day,Reactive,Line 3,29.36977799028663,33.42024185611114,1447.0
277.34634900374533,209.86658815057353,49.987469341133334,Packaging,Senior,Grade C,Night,Reactive,Line 3,19.33431754375577,69.05995486249756,12404.0
93.54439547771088,111.53580355309391,34.36767014331636,CNC,Trainee,Grade C,Night,None,Line 1,27.81780228124965,,4281.0
510.3605395893512,242.39620753040754,52.237655976214924,Injection,Expert,Grade B,Day,None,Line 1,22.636377764553295,53.27877949948143,10537.0
448.3752030141818,381.30601561587645,1.3413575607089068,Packaging,Senior,Grade C,Day,Reactive,Line 1,19.814848569973446,76.69086301095456,3846.0
157.5162979952476,106.87808655139901,44.316287314425,Packaging,Expert,Grade A,Rotating,None,Line 1,28.244826635072194,59.49603589724424,11860.0
390.39088993710345,132.16448027533693,10.164148504886121,Injection,Senior,Grade A,Rotating,Reactive,Line 2,22.643044334157878,63.00853241365241,
508.9045616028306,,17.164437326098902,Packaging,Junior,Grade A,Rotating,,Line 1,28.221732411389667,,14655.0
174.13654214469406,361.3255509269052,34.3351433333025,Packaging,Expert,Grade C,Rotating,Reactive,Line 1,20.27411730085376,63.52572035597349,13201.0
